Class,Total_Samples,Correct,Accuracy,Precision,Recall,F1_Score,TP,FP,FN
Accelerating_and_revving_and_vroom,6,1,0.16666666666666666,1.0,0.16666666666666666,0.2857142857142857,1,0,5
Accordion,9,7,0.7777777777777778,1.0,0.7777777777777778,0.8750000000000001,7,0,2
Acoustic_guitar,1,0,0.0,0.0,0.0,0.0,0,0,1
Bark,14,12,0.8571428571428571,0.8,0.8571428571428571,0.8275862068965518,12,3,2
Bass_drum,14,12,0.8571428571428571,0.7058823529411765,0.8571428571428571,0.7741935483870968,12,5,2
Bass_guitar,13,11,0.8461538461538461,0.9166666666666666,0.8461538461538461,0.8799999999999999,11,1,2
Bathtub_(filling_or_washing),11,2,0.18181818181818182,0.4,0.18181818181818182,0.25000000000000006,2,3,9
Bicycle_bell,13,11,0.8461538461538461,0.7857142857142857,0.8461538461538461,0.8148148148148148,11,3,2
Burping_and_eructation,15,12,0.8,0.5714285714285714,0.8,0.6666666666666666,12,9,3
Bus,14,10,0.7142857142857143,0.5263157894736842,0.7142857142857143,0.6060606060606061,10,9,4
Buzz,10,3,0.3,0.3333333333333333,0.3,0.3157894736842105,3,6,7
Car_passing_by,12,8,0.6666666666666666,0.4,0.6666666666666666,0.5,8,12,4
Chewing_and_mastication,15,3,0.2,0.2727272727272727,0.2,0.23076923076923075,3,8,12
Child_speech_and_kid_speaking,15,13,0.8666666666666667,0.65,0.8666666666666667,0.7428571428571429,13,7,2
Chink_and_clink,8,3,0.375,0.5,0.375,0.42857142857142855,3,3,5
Chirp_and_tweet,13,7,0.5384615384615384,0.4666666666666667,0.5384615384615384,0.5,7,8,6
Church_bell,15,10,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.689655172413793,10,4,5
Clapping,10,8,0.8,0.8,0.8,0.8000000000000002,8,2,2
Computer_keyboard,15,4,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.2962962962962963,4,8,11
Crackle,15,10,0.6666666666666666,0.43478260869565216,0.6666666666666666,0.5263157894736841,10,13,5
Cricket,14,2,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.19047619047619047,2,5,12
Crowd,1,0,0.0,0.0,0.0,0.0,0,1,1
Cupboard_open_or_close,13,10,0.7692307692307693,0.625,0.7692307692307693,0.6896551724137931,10,6,3
Cutlery_and_silverware,7,0,0.0,0.0,0.0,0.0,0,0,7
Drawer_open_or_close,13,7,0.5384615384615384,0.5833333333333334,0.5384615384615384,0.5599999999999999,7,5,6
Drip,1,0,0.0,0.0,0.0,0.0,0,0,1
Electric_guitar,10,9,0.9,0.6923076923076923,0.9,0.7826086956521738,9,4,1
Fart,15,11,0.7333333333333333,0.6875,0.7333333333333333,0.7096774193548386,11,5,4
Female_singing,13,6,0.46153846153846156,0.6666666666666666,0.46153846153846156,0.5454545454545455,6,3,7
Female_speech_and_woman_speaking,9,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,5,4,4
Fill_(with_liquid),8,3,0.375,0.42857142857142855,0.375,0.39999999999999997,3,4,5
Finger_snapping,15,15,1.0,0.75,1.0,0.8571428571428571,15,5,0
Frying_(food),12,8,0.6666666666666666,0.5,0.6666666666666666,0.5714285714285715,8,8,4
Gasp,9,4,0.4444444444444444,0.5714285714285714,0.4444444444444444,0.5,4,3,5
Glockenspiel,11,10,0.9090909090909091,1.0,0.9090909090909091,0.9523809523809523,10,0,1
Gong,15,13,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,13,2,2
Gurgling,10,6,0.6,0.6666666666666666,0.6,0.631578947368421,6,3,4
Harmonica,15,11,0.7333333333333333,0.8461538461538461,0.7333333333333333,0.7857142857142856,11,2,4
Hi-hat,14,13,0.9285714285714286,1.0,0.9285714285714286,0.962962962962963,13,0,1
Hiss,15,2,0.13333333333333333,0.18181818181818182,0.13333333333333333,0.15384615384615383,2,9,13
Keys_jangling,15,11,0.7333333333333333,0.4583333333333333,0.7333333333333333,0.5641025641025641,11,13,4
Knock,14,13,0.9285714285714286,0.65,0.9285714285714286,0.7647058823529412,13,7,1
Male_singing,13,11,0.8461538461538461,0.6470588235294118,0.8461538461538461,0.7333333333333334,11,6,2
Male_speech_and_man_speaking,12,5,0.4166666666666667,0.7142857142857143,0.4166666666666667,0.5263157894736842,5,2,7
Marimba_and_xylophone,15,6,0.4,0.46153846153846156,0.4,0.42857142857142855,6,7,9
Mechanical_fan,10,7,0.7,0.6363636363636364,0.7,0.6666666666666666,7,4,3
Meow,12,4,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.380952380952381,4,5,8
Microwave_oven,14,9,0.6428571428571429,0.6923076923076923,0.6428571428571429,0.6666666666666666,9,4,5
Motorcycle,12,7,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,7,5,5
Printer,15,6,0.4,0.6,0.4,0.48,6,4,9
Purr,10,4,0.4,0.3076923076923077,0.4,0.34782608695652173,4,9,6
Race_car_and_auto_racing,5,2,0.4,1.0,0.4,0.5714285714285715,2,0,3
Raindrop,4,2,0.5,0.6666666666666666,0.5,0.5714285714285715,2,1,2
Run,13,5,0.38461538461538464,0.5555555555555556,0.38461538461538464,0.4545454545454546,5,4,8
Scissors,15,4,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,4,11,11
Screaming,10,4,0.4,0.5,0.4,0.4444444444444445,4,4,6
Shatter,15,5,0.3333333333333333,0.5,0.3333333333333333,0.4,5,5,10
Sigh,11,4,0.36363636363636365,0.5,0.36363636363636365,0.4210526315789474,4,4,7
Skateboard,15,12,0.8,0.6,0.8,0.6857142857142857,12,8,3
Slam,8,3,0.375,0.3,0.375,0.33333333333333326,3,7,5
Sneeze,12,9,0.75,0.5294117647058824,0.75,0.6206896551724139,9,8,3
Squeak,4,0,0.0,0.0,0.0,0.0,0,2,4
Stream,14,8,0.5714285714285714,0.4444444444444444,0.5714285714285714,0.5,8,10,6
Tap,13,6,0.46153846153846156,0.6666666666666666,0.46153846153846156,0.5454545454545455,6,3,7
Tick-tock,14,6,0.42857142857142855,0.375,0.42857142857142855,0.39999999999999997,6,10,8
Toilet_flush,13,10,0.7692307692307693,0.8333333333333334,0.7692307692307693,0.8,10,2,3
Traffic_noise_and_roadway_noise,11,6,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,6,5,5
Trickle_and_dribble,7,7,1.0,1.0,1.0,1.0,7,0,0
Walk_and_footsteps,8,0,0.0,0.0,0.0,0.0,0,4,8
Waves_and_surf,14,5,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,5,9,9
Whispering,13,8,0.6153846153846154,0.38095238095238093,0.6153846153846154,0.47058823529411764,8,13,5
Writing,15,7,0.4666666666666667,0.4117647058823529,0.4666666666666667,0.43749999999999994,7,10,8
Yell,5,3,0.6,0.6,0.6,0.6,3,2,2
Zipper_(clothing),15,2,0.13333333333333333,0.16666666666666666,0.13333333333333333,0.14814814814814814,2,10,13
