Class,Samples,Correct,Accuracy,Precision,Recall,F1_Score
airplane,8,6,0.75,0.6666666666666666,0.75,0.7058823529411765
breathing,8,1,0.125,0.14285714285714285,0.125,0.13333333333333333
brushing_teeth,8,6,0.75,0.5454545454545454,0.75,0.631578947368421
can_opening,8,5,0.625,0.5555555555555556,0.625,0.5882352941176471
car_horn,8,2,0.25,0.5,0.25,0.3333333333333333
cat,8,3,0.375,0.3,0.375,0.33333333333333326
chainsaw,8,3,0.375,0.5,0.375,0.42857142857142855
chirping_birds,8,3,0.375,0.6,0.375,0.4615384615384615
church_bells,8,0,0.0,0.0,0.0,0.0
clapping,8,5,0.625,0.5555555555555556,0.625,0.5882352941176471
clock_alarm,8,4,0.5,0.8,0.5,0.6153846153846154
clock_tick,8,0,0.0,0.0,0.0,0.0
coughing,8,2,0.25,0.2857142857142857,0.25,0.26666666666666666
cow,8,0,0.0,0.0,0.0,0.0
crackling_fire,8,5,0.625,0.8333333333333334,0.625,0.7142857142857143
crickets,8,1,0.125,0.25,0.125,0.16666666666666666
crow,8,6,0.75,0.8571428571428571,0.75,0.7999999999999999
crying_baby,8,3,0.375,0.6,0.375,0.4615384615384615
dog,8,4,0.5,0.3076923076923077,0.5,0.380952380952381
door_wood_creaks,8,1,0.125,0.2,0.125,0.15384615384615385
door_wood_knock,8,6,0.75,0.6,0.75,0.6666666666666665
drinking_sipping,8,0,0.0,0.0,0.0,0.0
engine,8,3,0.375,0.2727272727272727,0.375,0.3157894736842105
fireworks,8,0,0.0,0.0,0.0,0.0
footsteps,8,4,0.5,0.14814814814814814,0.5,0.22857142857142856
frog,8,2,0.25,0.4,0.25,0.3076923076923077
glass_breaking,8,3,0.375,0.375,0.375,0.375
hand_saw,8,2,0.25,0.16666666666666666,0.25,0.2
helicopter,8,0,0.0,0.0,0.0,0.0
hen,8,2,0.25,0.2,0.25,0.22222222222222224
insects,8,5,0.625,0.45454545454545453,0.625,0.5263157894736842
keyboard_typing,8,3,0.375,0.16666666666666666,0.375,0.23076923076923078
laughing,8,1,0.125,0.125,0.125,0.125
mouse_click,8,2,0.25,0.18181818181818182,0.25,0.2105263157894737
pig,8,1,0.125,0.125,0.125,0.125
pouring_water,8,1,0.125,0.125,0.125,0.125
rain,8,7,0.875,0.4375,0.875,0.5833333333333334
rooster,8,4,0.5,0.8,0.5,0.6153846153846154
sea_waves,8,7,0.875,0.3888888888888889,0.875,0.5384615384615385
sheep,8,4,0.5,0.6666666666666666,0.5,0.5714285714285715
siren,8,0,0.0,0.0,0.0,0.0
sneezing,8,6,0.75,0.6666666666666666,0.75,0.7058823529411765
snoring,8,1,0.125,0.16666666666666666,0.125,0.14285714285714288
thunderstorm,8,4,0.5,0.5,0.5,0.5
toilet_flush,8,4,0.5,0.5,0.5,0.5
train,8,2,0.25,0.25,0.25,0.25
vacuum_cleaner,8,0,0.0,0.0,0.0,0.0
washing_machine,8,1,0.125,0.16666666666666666,0.125,0.14285714285714288
water_drops,8,1,0.125,0.25,0.125,0.16666666666666666
wind,8,4,0.5,0.3076923076923077,0.5,0.380952380952381
