Model,Accuracy,Balanced Accuracy,F1 Score,Time Taken,Status
LinearSVC,0.5655737704918032,0.5278144903144902,0.5505020141854093,136.93795537948608,Success
CalibratedClassifierCV,0.5597189695550351,0.5189132189132191,0.5390633524232742,349.80136704444885,Success
LogisticRegression,0.531615925058548,0.49175089175089165,0.51610429873233,85.6807382106781,Success
RidgeClassifier,0.49063231850117095,0.44134165384165386,0.45817540376672455,0.7397704124450684,Success
RandomForestClassifier,0.47892271662763464,0.4368668493668494,0.4639180890591676,4.310712814331055,Success
ExtraTreesClassifier,0.477751756440281,0.4412368037368038,0.462958092277743,1.0682506561279297,Success
RidgeClassifierCV,0.4601873536299766,0.4122320997320997,0.41971349907189,20.688138961791992,Success
KNeighborsClassifier,0.39227166276346603,0.35625973125973126,0.3849921074780628,0.33698105812072754,Success
BaggingClassifier,0.38992974238875877,0.3591566466566467,0.3768352371808151,30.29310417175293,Success
PassiveAggressiveClassifier,0.36065573770491804,0.3238787113787114,0.34845894732265886,24.905688524246216,Success
